age,employment_years,monthly_income,existing_debts,num_previous_loans,num_defaults,on_time_payment_ratio,avg_days_late,credit_utilization_pct,account_balance,credit_history_years,num_open_credit_lines,risk_category
24,10.2,30800.0,11400.0,2,0,0.725,0.3,17.4,16090.0,6.6,1,Low Risk
55,3.0,81400.0,6300.0,3,1,0.68,11.8,22.8,15680.0,6.4,4,High Risk
49,0.0,61500.0,11000.0,0,0,0.72,4.7,31.9,11340.0,5.6,0,Low Risk
40,0.0,16000.0,10700.0,7,1,0.698,20.7,52.9,3940.0,5.5,0,High Risk
40,11.7,71400.0,34700.0,0,0,0.945,0.3,53.9,46800.0,7.5,7,Low Risk
58,4.4,71300.0,5500.0,3,0,0.933,0.3,32.8,1380.0,3.8,5,Low Risk
24,3.0,20200.0,1000.0,4,0,0.886,3.4,8.0,5810.0,10.0,4,Low Risk
51,12.6,10300.0,2700.0,3,1,0.635,10.8,68.1,1300.0,16.5,5,Medium Risk
29,11.1,35000.0,4800.0,1,0,0.867,7.3,22.8,5920.0,4.4,9,Low Risk
25,6.1,63700.0,6900.0,1,0,0.713,0.7,52.7,3640.0,6.5,8,Medium Risk
44,4.8,80500.0,16100.0,1,0,0.942,5.1,19.1,26640.0,9.0,7,Low Risk
63,5.5,23500.0,4500.0,3,0,0.738,2.1,61.4,5160.0,10.3,1,Medium Risk
53,6.9,87200.0,4000.0,4,0,0.865,2.8,65.0,27690.0,9.2,6,Medium Risk
54,12.4,11900.0,5300.0,2,0,0.918,2.3,31.5,4160.0,3.2,8,Low Risk
52,7.7,30200.0,4400.0,3,1,0.78,4.3,69.9,2900.0,0.3,8,High Risk
55,8.9,29500.0,7700.0,3,1,0.857,4.1,77.2,8660.0,1.1,2,High Risk
43,10.7,64600.0,7400.0,1,0,0.695,0.3,57.0,420.0,10.0,2,Low Risk
26,1.3,69500.0,26600.0,3,0,0.955,2.6,31.9,3460.0,5.3,7,Medium Risk
57,9.0,58500.0,5000.0,5,0,0.89,5.0,44.6,6760.0,4.2,7,Low Risk
40,4.8,18500.0,9300.0,3,2,0.777,6.4,42.2,79570.0,5.4,3,High Risk
43,0.0,55900.0,7700.0,6,0,0.907,2.8,27.4,11240.0,9.3,4,Low Risk
37,0.0,46800.0,30000.0,6,1,0.798,3.9,42.0,600.0,13.4,9,High Risk
29,1.9,15700.0,11400.0,3,1,0.969,4.0,44.4,2310.0,4.2,4,High Risk
61,8.1,12900.0,38200.0,2,0,0.634,6.2,6.7,1350.0,2.8,6,Medium Risk
55,6.5,61000.0,4200.0,1,0,0.712,13.5,53.7,9040.0,8.4,7,Medium Risk
49,6.7,33200.0,12700.0,0,0,0.885,6.9,60.5,15960.0,8.2,9,Medium Risk
38,13.8,19100.0,7500.0,2,0,0.913,0.5,68.5,870.0,4.9,8,Medium Risk
57,0.9,32700.0,3900.0,0,0,0.928,1.3,51.4,20910.0,9.8,8,Low Risk
44,5.9,43600.0,12500.0,1,0,0.959,2.9,47.4,1770.0,8.4,5,Low Risk
40,7.2,34800.0,75600.0,4,0,0.807,1.9,17.5,1810.0,3.0,6,Low Risk
40,3.1,16700.0,5700.0,2,0,0.588,7.6,21.3,1220.0,6.1,6,Low Risk
30,6.1,93200.0,11800.0,1,1,0.857,6.6,19.4,2610.0,11.4,8,Low Risk
25,0.0,60000.0,3600.0,1,1,0.881,9.4,68.2,5330.0,10.8,2,High Risk
45,11.6,30700.0,3100.0,2,0,0.903,3.2,30.2,21740.0,7.8,5,Low Risk
60,3.3,31300.0,6100.0,1,0,0.838,3.7,43.3,1110.0,17.1,7,Medium Risk
23,14.1,43500.0,8500.0,3,0,0.731,0.9,37.7,1170.0,8.4,2,Medium Risk
58,5.9,20600.0,8900.0,4,0,0.866,5.4,36.6,15240.0,8.3,0,Low Risk
57,10.1,42700.0,10700.0,3,0,0.783,2.1,58.2,3500.0,5.8,6,Medium Risk
33,5.8,18700.0,2600.0,3,0,0.689,14.0,69.0,2290.0,6.3,3,High Risk
48,5.9,35100.0,7100.0,4,2,0.795,12.2,60.7,6810.0,9.0,1,High Risk
28,3.7,20200.0,22100.0,2,2,0.89,6.2,45.3,2670.0,4.6,0,High Risk
54,6.5,20800.0,3400.0,3,0,0.892,6.9,62.6,1680.0,9.9,3,Low Risk
51,7.3,82700.0,9400.0,0,0,0.847,0.2,35.5,3580.0,9.9,5,Low Risk
36,2.9,37400.0,17900.0,2,0,0.837,0.1,75.1,6820.0,1.4,8,High Risk
23,5.5,40300.0,6100.0,4,0,0.912,0.9,27.0,1350.0,1.0,9,Low Risk
63,3.6,13300.0,18800.0,3,0,0.971,0.0,19.4,17120.0,5.9,5,Medium Risk
40,15.2,26900.0,2900.0,4,0,0.625,1.3,53.5,4210.0,14.1,0,Low Risk
60,5.6,45700.0,32500.0,0,0,0.879,0.4,44.0,4080.0,14.4,8,Low Risk
50,12.2,40000.0,19300.0,1,0,0.833,1.8,36.6,2510.0,0.0,2,Medium Risk
55,5.2,12400.0,14100.0,1,0,0.966,1.5,45.5,3090.0,8.0,9,Medium Risk
54,7.0,40300.0,41100.0,1,0,0.832,0.0,52.2,2030.0,7.1,0,Medium Risk
29,0.7,43600.0,9600.0,2,1,0.908,3.2,24.6,19540.0,3.2,1,Medium Risk
37,4.2,69000.0,7200.0,2,0,0.745,28.1,53.2,6040.0,6.4,4,High Risk
41,6.8,26200.0,52700.0,5,2,0.888,16.6,63.7,2790.0,4.3,4,High Risk
42,12.3,11800.0,70800.0,1,0,0.946,8.1,54.5,1800.0,6.1,5,Medium Risk
22,6.9,22100.0,6700.0,1,0,0.712,18.8,46.7,2840.0,6.3,3,Medium Risk
45,11.5,21000.0,11900.0,2,0,0.844,0.5,49.9,8900.0,2.6,0,Medium Risk
27,8.6,52500.0,38000.0,1,0,0.827,9.6,66.0,3230.0,6.1,6,Medium Risk
53,12.5,9300.0,12400.0,3,0,0.611,0.3,20.0,3780.0,5.9,1,Medium Risk
51,5.8,29000.0,24200.0,2,0,0.765,12.0,24.0,5700.0,9.7,3,Medium Risk
61,15.6,74100.0,29200.0,2,0,0.851,11.1,63.6,2520.0,7.7,8,Medium Risk
53,4.1,36400.0,7600.0,4,0,0.976,1.2,67.7,4360.0,10.1,5,Medium Risk
37,2.9,56800.0,20300.0,2,0,0.931,1.0,44.3,58040.0,8.9,2,Low Risk
63,1.2,16000.0,13300.0,1,0,0.828,9.2,78.9,6150.0,12.6,8,High Risk
39,15.3,16300.0,4000.0,5,0,0.848,21.2,85.5,6420.0,5.8,2,High Risk
35,9.3,74500.0,5000.0,1,0,0.806,1.4,55.9,2040.0,10.7,5,High Risk
60,4.7,38200.0,7000.0,2,0,0.682,8.1,42.0,13930.0,7.3,9,Low Risk
37,11.0,38200.0,33800.0,2,1,0.768,3.3,59.2,2270.0,13.1,4,High Risk
24,8.8,20800.0,34900.0,1,0,0.821,7.9,31.2,7300.0,8.5,0,Low Risk
41,13.9,38200.0,28300.0,3,0,0.935,1.0,21.6,410.0,3.2,1,Low Risk
56,0.0,20500.0,20700.0,0,0,0.674,0.6,66.1,1890.0,6.8,9,High Risk
29,4.9,65700.0,20200.0,3,0,0.747,1.7,25.8,2520.0,6.2,6,Low Risk
41,4.1,142000.0,17600.0,1,0,0.843,2.5,5.1,3400.0,3.7,8,Low Risk
26,0.0,46300.0,20100.0,5,1,0.58,8.4,78.6,2990.0,5.1,2,High Risk
51,10.2,26400.0,21500.0,5,3,0.868,13.7,27.0,21080.0,0.0,8,High Risk
41,4.9,10200.0,3300.0,2,0,0.945,2.9,11.5,4540.0,4.6,6,Low Risk
35,9.0,15600.0,6100.0,2,0,0.974,2.0,69.9,21300.0,9.7,6,Low Risk
30,15.4,79000.0,4800.0,1,0,0.797,1.8,61.2,1600.0,9.2,4,High Risk
45,4.6,21700.0,40400.0,3,0,0.954,1.9,49.3,1140.0,4.9,3,Medium Risk
